Title,Body
"Attempt was made to access a socket in a way forbidden by its access permissions","<p>I'm using smtp google's server to send a email through my contact form..In local server it works fine but in web server it shows this error.First ,I've used port number <strong>587</strong> which gives error ""Security Exception"" and error was on the line <code>using (SmtpClient smtp = new SmtpClient(smtpAddress, portNumber))</code>, but I've changed port to <strong>25</strong> and it gives this new error on the line .</p>

<pre><code>smtp.Send(mail);
</code></pre>

<p><strong>Description</strong>: </p>

<blockquote>
  <p>An unhandled exception occurred during the execution of the current
  web request. Please review the stack trace for more information about
  the error and where it originated in the code.</p>
</blockquote>

<p><strong>Exception Details</strong>:</p>

<blockquote>
  <p>System.Net.Sockets.SocketException: An attempt was made to access a
  socket in a way forbidden by its access permissions 74.125.206.108:25</p>
</blockquote>

<p>My code is:</p>

<pre><code>protected void send_Click(object sender, EventArgs e)
{
    string smtpAddress = ""smtp.gmail.com"";
    int portNumber = 25;
    bool enableSSL = true;

    string emailfrom = ""isl@gmail.com"";
    string password = ""******"";
    string subject = ""Contact Form Data"";
    string emailto = ""isl@gmail.com"";
    string name = n.Value;       
    string useremail = em.Value;
    string phone = tel.Value;
    string dept = dep.Value;
    string dest = des.Value;
    string adu = ad.Value;

    string msg = mes.Value;
    string body = ""Name: "" + name + "" ;"" + "" Email: "" + useremail + "" ;"" + ""Telephone: "" + phone + "" ;"" + "" Departure Place: "" + dept + "" ;"" + ""Destination Place: "" + dest + "" ;"" + "" Adults: "" + adu + "" ;"" + "" ;"" + ""Children: "" + chil + "" ;"" + ""Message: "" + msg + "" ;"";

    using (MailMessage mail = new MailMessage())
    {
        mail.From = new MailAddress(emailfrom);
        mail.To.Add(emailto);
        mail.Subject = subject;
        mail.Body = body;
        mail.IsBodyHtml = true;

        using (SmtpClient smtp = new SmtpClient(smtpAddress, portNumber))
        {
            smtp.Credentials = new NetworkCredential(emailfrom, password);
            smtp.EnableSsl = enableSSL;
            smtp.Send(mail);
        }
    }
}
</code></pre>

<p><strong>Stack Trace</strong></p>

<blockquote>
  <p>[SocketException (0x271d): An attempt was made to access a socket in a
  way          forbidden by its access permissions 74.125.206.108:25]
  System.Net.Sockets.Socket.DoConnect(EndPoint endPointSnapshot,
  SocketAddress socketAddress) +208
  System.Net.ServicePoint.ConnectSocketInternal(Boolean connectFailure,
  Socket s4, Socket s6, Socket&amp; socket, IPAddress&amp; address,
  ConnectSocketState state, IAsyncResult asyncResult, Exception&amp;
  exception) +464</p>
  
  <p>[WebException: Unable to connect to the remote server]
  System.Net.ServicePoint.GetConnection(PooledStream PooledStream,
  Object owner, Boolean async, IPAddress&amp; address, Socket&amp; abortSocket,
  Socket&amp; abortSocket6) +6662436 System.Net.PooledStream.Activate(Object
  owningObject, Boolean async, GeneralAsyncDelegate asyncCallback) +307
  System.Net.PooledStream.Activate(Object owningObject,
  GeneralAsyncDelegate asyncCallback) +19
  System.Net.ConnectionPool.GetConnection(Object owningObject, 
  GeneralAsyncDelegate asyncCallback, Int32 creationTimeout) +324
  System.Net.Mail.SmtpConnection.GetConnection(ServicePoint
  servicePoint) +141
  System.Net.Mail.SmtpTransport.GetConnection(ServicePoint servicePoint)
  +170 System.Net.Mail.SmtpClient.GetConnection() +44 System.Net.Mail.SmtpClient.Send(MailMessage message) +1554</p>
  
  <p>[SmtpException: Failure sending mail.] 
  System.Net.Mail.SmtpClient.Send(MailMessage message) +1906
  Contact.send_Click(Object sender, EventArgs e) in
  \smb-whst-www02\whst_www02$\ff8b1b\user\medviewair.uk\web\Contact.aspx.cs:51
  System.Web.UI.WebControls.Button.OnClick(EventArgs e) +9628462
  System.Web.UI.WebControls.Button.RaisePostBackEvent(String
  eventArgument) +103 
  System.Web.UI.WebControls.Button.System.Web.UI.IPostBackEventHandler.RaisePostBackEvent(String
  eventArgument) +10
  System.Web.UI.Page.RaisePostBackEvent(IPostBackEventHandler
  sourceControl, String eventArgument) +13
  System.Web.UI.Page.RaisePostBackEvent(NameValueCollection postData)
  +35 System.Web.UI.Page.ProcessRequestMain(Boolean includeStagesBeforeAsyncPoint, Boolean includeStagesAfterAsyncPoint)
  +1724</p>
</blockquote>
"
"Contact Form 7 showing sent message but not receiving email","<p>Experiencing issue with WP plugin, contact form 7. When I fill in the form and submit, I receive a success message stating it was sent yet I don't receive it in my emails.</p>

<p>The mail is not in my junk and I only received the message in my email when I input the email its being send to!?</p>

<p>The email it is going to is an exchange account. I can see the emails coming through using a contact form submission on the WP backend. But would like to resolve this issue.</p>

<p>Form</p>

<pre><code>[text* your-name placeholder ""Name""]

[email* your-email placeholder ""Email Address""]

[text* your-dob placeholder ""DOB""]

&lt;p&gt;Which Challenge(s) would you like to enter?&lt;/p&gt;
[checkbox* select-challenge ""1"" ""2"" ""3""]

&lt;/br&gt;

Please tick here that you have read and accepted the [popup_trigger 
classes=""popmake-food-challenge-tcs""]
&lt;u&gt;terms &amp; conditions&lt;/u&gt;[/popup_trigger] for entry &amp; participation. 
[acceptance acceptance-997]


[submit ""Send""]
</code></pre>

<p>Mail</p>

<p>To: myname@company.com</p>

<p>From: Website </p>

<p>Subject: Challenge</p>

<pre><code>Reply-To: [your-email]

From: [your-name] &lt;[your-email]&gt;

Eating Challenge Registration

Name: [your-name]
Email: [your-email]
DOB: [your-dob]

Challenge(s): [select-challenge]
</code></pre>

<p>I also checked with website host that they use wp_mail() and was confirmed they do. As other contact forms send - bar this one.</p>
"
"Ms Access Send Email with Report as Attachment","<p>Using VBA code builder in MS Access, I have been able to write code that opens Outlook and send me an email with the click of a button.  I am having problems with adding an attachment. Most code I have found adds files outside the MS Database as an attachment, I would like to add a report created in my database as an attachment.  </p>

<pre><code>Private Sub EmailReport_Click()
Dim oApp As New Outlook.Application
Dim oEmail As Outlook.MailItem

'Email the results of the report generated
Set oEmail = oApp.CreateItem(olMailItem)
oEmail.To = ""myemailaddress@email.com""
oEmail.Subject = ""Training Roster""
oEmail.Body = ""Roster Information""

With oEmail
    .Send
    MsgBox ""Email Sent""
End With
</code></pre>

<p>I have been looking into a command similar to </p>

<pre><code>oEmail.Attachments.Add Me.
</code></pre>

<p>..But, I cannot find the correct combination for adding my report.
Thanks!! </p>
"
"How to access outlook mailbox using Python","<p>I am doing a project that makes a post request when the mailbox receives an email, the only thing that I need is access to the mailbox. The mail address is from office 365. I have already tried access using Microsoft Graph API, exchange library, and IMAP library but with no success. At the moment, I am doing the project using win32com.client library, but to use I need outlook installed on my machine. The Idea is to access my mailbox from another server. Does anyone know how can I do it? Thank you for the help.</p>
"
"555 5.5.2 Syntax error. gmail's smtp","<p>Do you know what is syntax error refering?</p>

<p>Here's the code I'm using cakephp</p>

<pre><code> $User = $this-&gt;User-&gt;read(null,$id);
    $this-&gt;Email-&gt;to = array('name@gmail.com');; 
    $this-&gt;Email-&gt;from = 'name@gmail.com';
    $this-&gt;Email-&gt;subject = 'Welcome to our really cool thing';
    $this-&gt;Email-&gt;template = 'simple_message'; 

    $this-&gt;Email-&gt;sendAs = 'both'; 
     $this-&gt;Email-&gt;smtpOptions = array(
        'port'=&gt;'465', 
        'timeout'=&gt;'30',
        'auth' =&gt; true,
        'host' =&gt; 'ssl://smtp.gmail.com',
        'username'=&gt;'name@gmail.com',
        'password'=&gt;'********',

   );
    $this-&gt;set('User', $User);
    $this-&gt;Email-&gt;delivery = 'smtp';
    $this-&gt;Email-&gt;send();
</code></pre>

<p>NOTE: I'm sending the email to myself for test purposes.</p>
"
"How to send email with pdf attachment in Python?","<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/3362600/how-to-send-email-attachments-with-python"">How to send Email Attachments with python</a>  </p>
</blockquote>



<p>I would like to edit the following code and send an email with an attachment. Attachment is a pdf file, it is under /home/myuser/sample.pdf, in linux environment. What should I change below?</p>

<pre><code>import smtplib  
fromaddr = 'myemail@gmail.com'  
toaddrs  = 'youremail@gmail.com'  
msg = 'Hello'  


# Credentials (if needed)  
username = 'myemail'  
password = 'yyyyyy'  

# The actual mail send  
server = smtplib.SMTP('smtp.gmail.com:587')  
server.starttls()  
server.login(username,password)  
server.sendmail(fromaddr, toaddrs, msg)  
server.quit()  
</code></pre>
"
"Sendgrid change href of link","<p>I am using Nodejs with Express and I am sending an email through Sendgrid, but Sendgrid is changing the href link</p>

<pre><code>var emailText = '&lt;!DOCTYPE html&gt;&lt;html&gt;&lt;head&gt;&lt;meta charset=""UTF-8""&gt;&lt;/head&gt;&lt;body&gt;&lt;a href=""https://www.google.com""&gt;Here&lt;/a&gt;&lt;/body&gt;&lt;/html&gt;'
var from_email = new helper.Email('contact@test.com');
var to_email = new helper.Email('contact@test2.com');
var subject = 'Test';
var content = new helper.Content(""text/html"", emailText)
var mail = new helper.Mail(from_email, subject, to_email, content);                                            
var request = sg.emptyRequest({
    method: 'POST',
    path: '/v3/mail/send',
    body: mail.toJSON(),
});
sg.API(request, function(error, response) {
    if (error) {
        console.log('Error response received');
    }
    console.log(response.statusCode);
    console.log(response.body);
    console.log(response.headers);
});
</code></pre>

<p>When the email arrives the following link appears:</p>

<p><code>https://u4006412.ct.sendgrid.net/wf/click?upn=rOQ9fjZGp5r0JyNfoC02LbL.....</code></p>

<p>Could someone help me solve this problem?</p>
"
"SMTP 5.7.57 error when trying to send email via Office 365","<p>I'm trying to set up some code to send email via <a href=""https://technet.microsoft.com/en-us/library/dn554323.aspx#HowtoconfigSMTPCS"" rel=""noreferrer"">Office 365's authenticated SMTP service</a>:</p>

<pre><code>var _mailServer = new SmtpClient();
_mailServer.UseDefaultCredentials = false;
_mailServer.Credentials = new NetworkCredential(""test.user@mydomain.com"", ""password"");
_mailServer.Host = ""smtp.office365.com"";
_mailServer.TargetName = ""STARTTLS/smtp.office365.com""; // same behaviour if this lien is removed
_mailServer.Port = 587;
_mailServer.EnableSsl = true;

var eml = new MailMessage();
eml.Sender = new MailAddress(""test.user@mydomain.com"");
eml.From = eml.Sender;
eml.to = new MailAddress(""test.recipient@anotherdomain.com"");
eml.Subject = ""Test message"";
eml.Body = ""Test message body"";

_mailServer.Send(eml);
</code></pre>

<p>This doesn't appear to be working, and I'm seeing an exception:</p>

<blockquote>
  <p>The SMTP server requires a secure connection or the client was not authenticated. The server response was: 5.7.57 SMTP; Client was not authenticated to send anonymous mail during MAIL FROM<br>
     at System.Net.Mail.MailCommand.Send(SmtpConnection conn, Byte[] command, String from)<br>
    at System.Net.Mail.SmtpTransport.SendMail(MailAddress sender, MailAddressCollection recipients, String deliveryNotify, SmtpFailedRecipientException&amp; exception)<br>
    at System.Net.Mail.SmtpClient.Send(MailMessage message)</p>
</blockquote>

<p>I've tried <a href=""https://msdn.microsoft.com/en-us/library/ty48b824%28v=vs.110%29.aspx"" rel=""noreferrer"">enabling network tracing</a> and it appears that secure communications are established (for example, I see a line in the log for the ""STARTTLS"" command, and later there's a line in the log ""Remote certificate was verified as valid by the user."", and the following <code>Send()</code> and <code>Receive()</code> data is not readable as plain text, and doesn't appear to contain any TLS/SSH panics)</p>

<p>I can use the very same email address and password to log on to <a href=""http://portal.office.com/"" rel=""noreferrer"">http://portal.office.com/</a> and use the Outlook email web mail to send and read email, so what might be causing the authentication to fail when sending email programmatically?</p>

<p>Is there any way to additionally debug the encrypted stream?</p>
"
"Send email from html form without php","<p>Is there a service that allows you to post a form to it from an html page (my php mail isn't working temporarily and I need a quick solution) and it will automatically send an email with specified content to a specified address?</p>

<p>The address it comes from is insignificant.</p>
"
"PHP mail: Multiple recipients?","<p>I have this code:</p>

<pre><code>&lt;?php
include(""db.php"");

$result = mysql_query(""SELECT * FROM email"");

while($row = mysql_fetch_array($result))
{
$to = $row['address'];
}
$subject = ""Test mail"";
$message = ""Hello! This is a simple email message."";
$from = ""example@example.com"";
$headers = ""From:"" . $from;
mail($to,$subject,$message,$headers);
?&gt;
</code></pre>

<p>In my table (""email"") I have multiple addresses.
(They are not comma sepparated.)
How could I send my message to all of those addresses?</p>
"
"Using HTML and PHP to send form data to an email","<p>Like the title says, sending a form to my email. I get no errors, but the email never comes. Here's my HTML form (I don't think you'll need anything else, but there is also some formatting and Java verification in the file).</p>

<pre><code>&lt;form method=""POST"" name=""contactform"" action=""contact-form-handler.php""&gt;
    &lt;p&gt;
        &lt;label for='name'&gt;Your Name:&lt;/label&gt;
        &lt;br&gt;
        &lt;input type=""text"" name=""name""&gt;
    &lt;/p&gt;
    &lt;p&gt;
        &lt;label for='email'&gt;Email Address:&lt;/label&gt;
        &lt;br&gt;
        &lt;input type=""text"" name=""email""&gt;
        &lt;br&gt;
    &lt;/p&gt;
    &lt;p&gt;
        &lt;label for='message'&gt;Message:&lt;/label&gt;
        &lt;br&gt;
        &lt;textarea name=""message""&gt;&lt;/textarea&gt;
    &lt;/p&gt;
    &lt;input type=""submit"" value=""Submit""&gt;
    &lt;br&gt;
&lt;/form&gt;
</code></pre>

<p>And here's my PHP. Obviously I took my email out and put in EMAIL instead, but other than that this is my complete PHP file. The thank you PHP file pulls up the submitted page just fine, and I get no errors. Just no email either.</p>

<pre><code>&lt;?php 
$errors = '';
$myemail = 'EMAIL@gmail.com';
if(empty($_POST['name'])  ||
   empty($_POST['email']) ||
   empty($_POST['message']))
{
    $errors .= ""\n Error: all fields are required"";
}
$name = $_POST['name'];
$email_address = $_POST['email'];
$message = $_POST['message'];
if (!preg_match(
""/ ^[_a-z0-9-]+(\.[_a-z0-9-]+)*@[a-z0-9-]+(\.[a-z0-9-]+)*(\.[a-z]{2,3})$/i"",
$email_address))
{
    $errors .= ""\n Error: Invalid email address"";
}
if( empty($errors))
{
    $to = '$myemail';
    $email_subject = ""Contact form submission: $name"";
    $email_body = ""You have received a new message. "".
        "" Here are the details:\n Name: $name \n "".
        ""Email: $email_address\n Message \n $message"";
    $headers = ""From: $myemail\n"";
    $headers .= ""Reply-To: $email_address"";
    mail($to,$email_subject,$email_body,$headers);
    //redirect to the 'thank you' page
    header('Location: contact-form-thank-you.html');
}
?&gt;
</code></pre>

<p>Thanks ahead of time for any help you can provide! I can give the rest of my HTML file or my other PHP file if you need it, this is where all the real functionality lies though.</p>
"
"The server response was: 4.3.2 Service not available, closing transmission channel","<p>I am getting this error while sending email from my application. Can anyone suggest any solution.</p>

<blockquote>
  <p>Service not available, closing transmission channel. The server
  response was: 4.3.2 Service not available, closing transmission
  channel</p>
</blockquote>

<p>Below is code.</p>

<pre><code>string adminID = ""AAA@tu.edu"";
MailMessage msg = new MailMessage();
msg.From = new MailAddress(adminID);
msg.To.Add(""BBB@ttu.edu"");
msg.Subject = ""Sample Email"";
msg.Body = ""Hello "";
SmtpClient SmtpMail = new SmtpClient();
SmtpMail.Host = ""basic.smtp.ttu.edu"";
SmtpMail.Port = 25;
SmtpMail.Send(msg);
</code></pre>
"
"How to configure `.env` file in Laravel for sending mail?","<p>Getting error while sending mail from a in <code>Laravel</code> website.</p>

<blockquote>
  <p>local.ERROR: Connection could not be established with host smtp.gmail.com [A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond. #10060]</p>
</blockquote>

<p><code>.env</code> file</p>

<pre><code>MAIL_DRIVER=smtp
MAIL_HOST=smtp.gmail.com
MAIL_PORT=587
MAIL_USERNAME=arafat@lasermedicalbd.com
MAIL_PASSWORD=app_specific_password
MAIL_ENCRYPTION=tls
</code></pre>

<p>Already googling but can't get the solution yet. Whatever I change( <code>PORT</code>, <code>DRIVER</code> ) in <code>.env</code> file always shows the same error.</p>

<p>How to solve it  !!</p>
"
"Sending email from an AngularJS web application","<p>In one of my AngularJS web applications, I need to confirm a password by sending emails to a concerned person. How can I achieve this in AngularJS? I am a .NET guy and I am using Visual Studio 2013.</p>
"
"SMTP Authentication with PHP mail() function","<p>I'm stuck on trying to add SMTP Authentication to my php script using the PHP mail() function.</p>

<p>The script currently works but because it isn't using SMTP Authentication the path of the php file and many other sensitive details are being included in the header (account username, etc.).</p>

<p>I'm currently specifying some of the header information using ""$headers =  "", etc., but I understand I need to use SMTP Authentication to fix this.</p>

<p>Is there a simple way to make my script use SMTP Authentication without having to use phpmailer, etc? Can I simply specify the port, authentication, username, password?</p>

<p>Update: Here is come code:</p>

<pre><code>            `code`$eol = PHP_EOL;
            $headers =  ""From: Test &lt;test@test.com&gt;"".$eol;
            $headers .= ""Reply-To: test@test.com"".$eol;
            $headers .= ""MIME-Version: 1.0"".$eol;
            $headers .= ""Content-Type: multipart/mixed; boundary=\""$random_hash\"""".$eol.$eol;
            $subject = 'Subject Goes Here';
            $message=""--"".$random_hash.$eol;
            $message.=""Content-Type: text/plain; charset=UTF-8"".$eol;
            $message.=""Content-Transfer-Encoding: 8bit"".$eol.$eol;
            $message.=""Hello,"".$eol;
            $message.=""Body content goes here."".$eol.$eol;
            $message.=""Thank you,"".$eol.$eol;
            $message.=""--"".$random_hash.$eol;
            @mail(to, subject, message, headers);`code`
</code></pre>
"
"How to send email from local wamp server using PHP?","<p>I need to send email messages from my localhost.</p>

<p>I am using wamp server and my site is loaded on my own server, please could you suggest how to send emails using my localhost and PHP?</p>
"
"SMTP Error: Could not authenticate. Message could not be sent. Mailer Error: SMTP Error: Could not authenticate","<p>When I trying to send a email using PHP SMTP email server, following error has occurred.</p>

<pre><code>SMTP Error: Could not authenticate. Message could not be sent.
</code></pre>

<p>Mailer Error: SMTP Error: Could not authenticate.</p>

<hr>

<p>Following is my code that I have used.</p>

<pre><code>function supervisorMail(){

global $error;
$mail = new PHPMailer();
$mail-&gt;IsSMTP();
$mail-&gt;SMTPDebug = 0;
$mail-&gt;SMTPAuth = true;
$mail-&gt;SMTPSecure = 'ssl';
$mail-&gt;Host = 'smtp.gmail.com';
$mail-&gt;Port = 465;
$mail-&gt;Username = ""***@gmail.com"";
$mail-&gt;Password = ""****"";
$mail-&gt;SetFrom(""***@gmail.com"", ""Employee Leave Management System"");

$userID=$_SESSION['userID'];

$select_query = mysql_query(""SELECT * FROM employee WHERE emp_id = '$userID'"");
$select_sql = mysql_fetch_array($select_query);
$name=$select_sql['manager_name'];
var_dump($name);

$select_query1 = mysql_query(""SELECT email FROM employee WHERE emp_id='$name'"");
$select_sql1 = mysql_fetch_array($select_query1);
$email=$select_sql1['email'];
    var_dump($email);

$mail-&gt;Subject = ""subject "";
$mail-&gt;Body = ""something."";
$mail_to = $email;
$mail-&gt;AddAddress($mail_to);

if(!$mail-&gt;Send())
{
    echo ""Message could not be sent. &lt;p&gt;"";
    echo ""Mailer Error: "" . $mail-&gt;ErrorInfo;
    exit;
}

echo ""Message has been sent"";
</code></pre>

<p>}</p>

<p>How can I fixed this error.</p>
"
"How do I validate email address formatting with the .NET Framework?","<p>I want a function to test that a string is formatted like an email address.</p>

<p>What comes built-in with the .NET framework to do this?</p>

<p>This works:</p>

<pre><code>Function IsValidEmailFormat(ByVal s As String) As Boolean
    Try
        Dim a As New System.Net.Mail.MailAddress(s)
    Catch
        Return False
    End Try
    Return True
End Function
</code></pre>

<p>But, is there a more elegant way?</p>
"
"How to change reset password email subject in laravel?","<p>I am beginner in Laravel. Currently I am learning this framework. My curent Laravel version is 5.3.</p>

<p>I am scaffolding my auth by using <code>php artisan make:auth</code> All are working fine. Also I configured gmail smtp in my .env file and mail.php in config directgory. All are perfectly working. But I saw by-default the forgot password email subject is going <code>Reset Password</code>. I want to change that.</p>

<p>I saw some blog. I found some blog. I have implement that in my site. But same output coming.</p>

<p>I followed these links - </p>

<p><a href=""https://laracasts.com/discuss/channels/general-discussion/laravel-5-password-reset-link-subject"" rel=""noreferrer"">https://laracasts.com/discuss/channels/general-discussion/laravel-5-password-reset-link-subject</a></p>

<p><a href=""https://laracasts.com/discuss/channels/general-discussion/reset-password-email-subject"" rel=""noreferrer"">https://laracasts.com/discuss/channels/general-discussion/reset-password-email-subject</a></p>

<p><a href=""https://laracasts.com/discuss/channels/laravel/how-to-override-message-in-sendresetlinkemail-in-forgotpasswordcontroller"" rel=""noreferrer"">https://laracasts.com/discuss/channels/laravel/how-to-override-message-in-sendresetlinkemail-in-forgotpasswordcontroller</a></p>
"
"how to send an email with Vuejs?","<p>How can I do to send an email with Vuejs2. I manage to get the input data and turned them into json but I can not send them to a mailbox.</p>

<p>I look for the side of PHPMailer but facing PHP and Vue do not mix.</p>

<p>How can I send the form content?</p>

<p><strong>Template :</strong></p>

<pre><code> &lt;div class=""JC-contact__form""&gt;
  &lt;b-form @submit=""onSubmit"" v-if=""show""&gt;

    &lt;b-form-group class=""JC-contact__form--lastName""&gt;
      &lt;b-form-input type=""text"" v-model=""form.lastName""&gt; &lt;/b-form-input&gt;
    &lt;/b-form-group&gt;

    &lt;b-form-group class=""JC-contact__form--firstName""&gt;
      &lt;b-form-input type=""text"" v-model=""form.firstName""&gt; &lt;/b-form-input&gt;
    &lt;/b-form-group&gt;

    &lt;b-form-group&gt;
      &lt;b-form-input type=""text"" v-model=""form.topic""&gt; &lt;/b-form-input&gt;
    &lt;/b-form-group&gt;
    &lt;b-form-group&gt;
      &lt;b-form-input type=""email"" v-model=""form.email""&gt;&lt;/b-form-input&gt;
    &lt;/b-form-group&gt;

    &lt;b-form-textarea v-model=""form.text""&gt;&lt;/b-form-textarea&gt;

    &lt;b-button type=""submit""&gt;Envoyer&lt;/b-button&gt;
  &lt;/b-form&gt;

&lt;/div&gt;
</code></pre>

<p></p>

<p><strong>Script :</strong></p>

<pre><code>  export default {
    name: 'Contact',
    data () {
      return {
        form: {
          lastName: '',
          firstName: '',
          topic: '',
          email: '',
          text: ''
        },
        file: null,
        show: true
      }
    },
    methods: {
      onSubmit (evt) {
        evt.preventDefault();
        alert(JSON.stringify(this.form));
      },
      onReset (evt) {
        evt.preventDefault();
        /* Reset our form values */
        this.form.lastName = '';
        this.form.firstName = '';
        this.form.topic = '';
        this.form.email = '';
        this.form.text = '';
        /* Trick to reset/clear native browser form validation state */
        this.show = false;
        this.$nextTick(() =&gt; {
          this.show = true
        });
      }
    }
  }
</code></pre>
"
"What is the actual minimum length of an email address as defined by the IETF?","<p>I'm specifically looking for the minimum length of the prefix and domain. </p>

<p>I've seen conflicting information and nothing that looks authoritative. </p>

<p>For reference, I found this page which claims that a one character email address is functional:</p>

<p><a href=""http://www.cjvandyk.com/blog/Lists/Posts/Post.aspx?ID=176"" rel=""noreferrer"">http://www.cjvandyk.com/blog/Lists/Posts/Post.aspx?ID=176</a></p>

<p>I tried validating email addresses at Gmail and they expect prefix greater than or equal to 6. </p>

<p>These are obviously way off. </p>

<p>My web framework expects prefix greater than or equal to 2.</p>
"
"php.ini, sendmail configuration to send an email using a php script","<p>I need some help.  I am trying to send an email from a php script.  My environment comprises of the following:</p>
<blockquote>
<p>Operating System: Windows 8</p>
<p>XAMPP version: 1.8.2</p>
<p>php version:  5.4.19</p>
</blockquote>
<p>I have the following php script:</p>
<pre><code>&lt;?php
mail('sugar.donkey@gmail.com','Helo','This is a test','From:salt@goodness.com');
?&gt;
</code></pre>
<p>The following configuration on send mail configuration file:</p>
<pre><code>smtp_server=smtp.gmail.com

; smtp port (normally 25)

smtp_port=465

auth_username=sugar.donkey+gmail.com
auth_password=[MYPASSWORDHERE]
</code></pre>
<p>The configurations on php.ini:</p>
<pre><code>[mail function]
; XAMPP: Comment out this if you want to work with an SMTP Server like Mercury

; SMTP = smtp.gmail.com

; smtp_port = 465

; For Win32 only.
; http://php.net/sendmail-from
;sendmail_from = postmaster@localhost
</code></pre>
<p>I dont get error when I run the php script, but I also dont seem to receive an email.  Where am I going wrong ?</p>
"
"Send mail in javax.mail without authentication","<p>I am using javax.mail to send mails in Java.
Now that a part of the concept of my project changed I have to send a mail without authentication. I will have to change my createSession() method:</p>

<pre><code>private void createSession() {
    properties.put(""mail.smtp.auth"", ""true"");
    properties.put(""mail.smtp.starttls.enable"", ""true"");
    properties.put(""mail.smtp.host"", server);
    properties.put(""mail.smtp.port"", port);

    session = Session.getInstance(properties, new javax.mail.Authenticator() {
        protected PasswordAuthentication getPasswordAuthentication() {
            return new PasswordAuthentication(username, password);
        }
    });
}
</code></pre>

<p>It is rather obvious that I should change <code>mail.smtp.auth</code> to <code>false</code>, but what else should I change?</p>
"
"Character encoding for French Accents","<p>I'm developing my first website for a French client and I'm having massive issues with accents being displayed as &quot;?&quot;.After googling it for days, I thought I understood, but issues persists.</p>
<p>To simplify it, I'll explain just the email headers (the message contains french accents)</p>
<pre><code>$headers  = 'MIME-Version: 1.0' . &quot;\r\n&quot;;
$headers .= 'Content-type: text/html; charset=iso-8859-1' . &quot;\r\n&quot;;
</code></pre>
<p>I've tried using charset UTF-8 and the iso-8859-1, but I still get this type of emails:</p>
<pre><code>Merci pour votre int̩r̻t pour les tee shirts. 
</code></pre>
<p>Can any one help?  I'm having these issues with mySql, HTML, PHP everywhere basically.</p>
<p>Thanks.</p>
"
"Image links broken in Gmail because of google's Image proxy","<p>Image links in gmail are broken because of google's Image proxy (<a href=""http://blog.wordtothewise.com/2013/12/gmail-deploys-image-proxy-servers/"" rel=""noreferrer"">news1</a>,<a href=""http://www.degdigital.com/blog/gmail-tracking-disruption-for-marketers/"" rel=""noreferrer"">news2</a>). I can't load my site's images in gmail.</p>
<p>Actual image path is:
<a href=""http://sampleimageurl.com/images/logo.jpg"" rel=""noreferrer"">http://sampleimageurl.com/images/logo.jpg</a></p>
<p>But I get the same image path like this in gmail:</p>
<p><a href=""https://ci3.googleusercontent.com/proxy/CUiMBo2ELdin8h5R_jKaarbsjQOZUXM3765smBK1PB4BsKq9EsVziwcOYFqjZqCkRDyu1jzoityEA_PJ=s0-d-e1-ft#http://sampleimageurl.com/images/logo.jpg"" rel=""noreferrer"">https://ci3.googleusercontent.com/proxy/CUiMBo2ELdin8h5R_jKaarbsjQOZUXM3765smBK1PB4BsKq9EsVziwcOYFqjZqCkRDyu1jzoityEA_PJ=s0-d-e1-ft#http://sampleimageurl.com/images/logo.jpg</a></p>
<p>Does anyone knows how to solve this issue?</p>
"
"Email Validation from WTForm using Flask","<p>I'm following a Flask tutorial from <a href=""http://code.tutsplus.com/tutorials/intro-to-flask-adding-a-contact-page--net-28982"">http://code.tutsplus.com/tutorials/intro-to-flask-adding-a-contact-page--net-28982</a> and am currently stuck on the validation step:</p>

<p>The old version had the following:</p>

<pre><code>from flask.ext.wtf import Form, TextField, TextAreaField, SubmitField, validators, ValidationError

class ContactForm(Form):
name = TextField(""Name"",  [validators.Required(""Please enter your name."")])
email = TextField(""Email"",  [validators.Required(""Please enter your email address.""), validators.Email(""Please enter your email address."")])
submit = SubmitField(""Send"")
</code></pre>

<p>Reading the comments I updated it to this: (replaced validators.Required with InputRequired)</p>

<pre><code>(same fields)  

class ContactForm(Form):  
name = TextField(""Name"", validators=[InputRequired('Please enter your name.')])
email = EmailField(""Email"",  validators=[InputRequired(""Please enter your email address."")]), validators.Email(""Please enter your email address."")])
submit = SubmitField(""Send"")
</code></pre>

<p>My only issue is I don't know what to do with the validators.Email. The error message I get is:</p>

<pre><code>NameError: name 'validators' is not defined
</code></pre>

<p>I've looked over the documentation, perhaps I didn't delve deep enough but I can't seem to find an example for email validation. </p>
"
"Receiving email in Node.js","<p>I see a lot of Node.js modules out there that sends mail through SMTP.</p>

<p>But is there a module to receive mail?</p>
"
"Is there a standard domain for testing ""throwaway"" email?","<p>I've noticed that the domain</p>

<pre><code>contoso.com
</code></pre>

<p>is often used in documentation when a sample is needed.  I always figured this was a dummy domain, used like the telephone prefix ""555"" to route spam into some kind of telecommunicative void (although <a href=""http://contoso.com"" rel=""noreferrer"">contoso.com</a> appears to be a real site).</p>

<p>Is there a domain I can safely use when I have to, say, test a registration form 20 times with a unique email address and I don't care what happens to the message, yet I don't want it going to a real person?</p>
"
